Date;Jrn Folio;Libellé;Complément;Débit;Lt;Crédit;Solde
;20100000;FRAIS D'ETABLISSEMENTS   ;;000;;000;000
01/01/2025;20100000;                              S.A.N.;CEX0125 ;38 260;;000;38 260
;20100000;Total compte 20100000  FRAIS D'ETABLISSEMENTS   ;;38 260;;000;38 260
;20700000;FONDS COMMERCIAL         ;;000;;000;000
01/01/2025;20700000;                              S.A.N.;CEX0125 ;407 140;;000;407 140
;20700000;Total compte 20700000  FONDS COMMERCIAL         ;;407 140;;000;407 140
;20800000;AUTRES IMMOS.INCORPOREL. ;;000;;000;000
01/01/2025;20800000;                              S.A.N.;CEX0125 ;8 000;;000;8 000
;20800000;Total compte 20800000  AUTRES IMMOS.INCORPOREL. ;;8 000;;000;8 000
;20XXXXX;Total classe 20;;453 400;;000;453 400
;21350000;INST.AGENC.CONSTRUCT.    ;;000;;000;000
01/01/2025;21350000;                              S.A.N.;CEX0125 ;10 600;;000;10 600
;21350000;Total compte 21350000  INST.AGENC.CONSTRUCT.    ;;10 600;;000;10 600
;21540000;MATERIEL INDUSTRIEL      ;;000;;000;000
19/02/2025;21540000;00SCHNEL   Fac    SCHNELL GRANDE CUISIN25021026;2 ;28 491;;000;28 491
23/10/2025;21540000;00SCHNEL   Fac    SCHNELL Four Liesel;11 ;8 532;;000;37 023
28/11/2025;21540000;00SCHNEL   Fac    SCHNELL Freddy;12 ;8 300;;000;45 323
28/11/2025;21540000;00SCHNEL   Fac    SCHNELL Rapido;12 ;8 710;;000;54 034
28/11/2025;21540000;00SCHNEL   Fac    SCHNELL Table;12 ;1 259;;000;55 292
28/11/2025;21540000;00SCHNEL   Fac    SCHNELL Four;12 ;21 345;;000;76 638
28/11/2025;21540000;00SCHNEL   Avo    Reprise SpeedX par Unox;1 ;000;;11 614;65 024
28/11/2025;21540000;00SCHNEL   Fac    Reprise Unox;2 ;000;;23 171;41 854
;21540000;Total compte 21540000  MATERIEL INDUSTRIEL      ;;76 638;;34 784;41 854
;21550000;OUTILLAGE INDUSTRIEL;;000;;000;000
01/01/2025;21550000;                              S.A.N.;CEX0125 ;58 784;;000;58 784
;21550000;Total compte 21550000  OUTILLAGE INDUSTRIEL;;58 784;;000;58 784
;21551000;MATERIEL FREDDY;;000;;000;000
01/01/2025;21551000;                              S.A.N.;CEX0125 ;69 625;;000;69 625
;21551000;Total compte 21551000  MATERIEL FREDDY;;69 625;;000;69 625
;21810000;INST.AGENC.DIVERS        ;;000;;000;000
01/01/2025;21810000;                              S.A.N.;CEX0125 ;5 147;;000;5 147
;21810000;Total compte 21810000  INST.AGENC.DIVERS        ;;5 147;;000;5 147
;21810001;AGENCEMENT DIVERS FREDDY;;000;;000;000
01/01/2025;21810001;                              S.A.N.;CEX0125 ;38 778;;000;38 778
;21810001;Total compte 21810001  AGENCEMENT DIVERS FREDDY;;38 778;;000;38 778
;21820000;MATERIEL DE TRANSPORT    ;;000;;000;000
01/01/2025;21820000;                              S.A.N.;CEX0125 ;1 521;;000;1 521
;21820000;Total compte 21820000  MATERIEL DE TRANSPORT    ;;1 521;;000;1 521
;21830000;MAT.BUREAU &INFORMATIQUE ;;000;;000;000
01/01/2025;21830000;                              S.A.N.;CEX0125 ;25 566;;000;25 566
;21830000;Total compte 21830000  MAT.BUREAU &INFORMATIQUE ;;25 566;;000;25 566
;21840000;MOBILIER                 ;;000;;000;000
01/01/2025;21840000;                              S.A.N.;CEX0125 ;21 356;;000;21 356
;21840000;Total compte 21840000  MOBILIER                 ;;21 356;;000;21 356
;21XXXXX;Total classe 21;;308 014;;34 784;273 230
;23800000;AVANCES S/IMMO CORPORELLE;;000;;000;000
01/01/2025;23800000;                              S.A.N.;CEX0125 ;8 547;;000;8 547
;23800000;Total compte 23800000  AVANCES S/IMMO CORPORELLE;;8 547;;000;8 547
;23XXXXX;Total classe 23;;8 547;;000;8 547
;26100000;TITRES DE PARTICIPATION  ;;000;;000;000
